episode,score
2.510000000000000000e+02,3.910118364849437000e+01
2.520000000000000000e+02,3.908879796044274713e+01
2.530000000000000000e+02,3.911172127840019641e+01
2.540000000000000000e+02,3.925086750196479812e+01
2.550000000000000000e+02,3.919644188339318447e+01
2.560000000000000000e+02,3.924284646059796700e+01
2.570000000000000000e+02,3.939082866368318747e+01
2.580000000000000000e+02,3.946934041118549175e+01
2.590000000000000000e+02,3.923286338971994525e+01
2.600000000000000000e+02,3.945727609821358328e+01
2.610000000000000000e+02,3.947181500331362969e+01
2.620000000000000000e+02,3.966423797012570418e+01
2.630000000000000000e+02,3.953699669191671973e+01
2.640000000000000000e+02,3.967539199129321759e+01
2.650000000000000000e+02,3.966711621227350548e+01
2.660000000000000000e+02,3.940105001491593839e+01
2.670000000000000000e+02,3.955358649222709744e+01
2.680000000000000000e+02,3.964754824676315081e+01
2.690000000000000000e+02,3.967438691448903398e+01
2.700000000000000000e+02,3.956734469471525983e+01
2.710000000000000000e+02,3.962895601064956708e+01
2.720000000000000000e+02,3.966012910673140368e+01
2.730000000000000000e+02,3.967641298513335357e+01
2.740000000000000000e+02,3.946834645207250247e+01
2.750000000000000000e+02,3.985255175502109637e+01
2.760000000000000000e+02,3.986588690006637847e+01
2.770000000000000000e+02,3.980329243753764956e+01
2.780000000000000000e+02,3.997798795961133322e+01
2.790000000000000000e+02,3.975158935806996396e+01
2.800000000000000000e+02,3.992917130990386454e+01
2.810000000000000000e+02,3.992121695238068924e+01
2.820000000000000000e+02,3.984818240328064576e+01
2.830000000000000000e+02,3.975762547194478458e+01
2.840000000000000000e+02,3.981616595170632422e+01
2.850000000000000000e+02,4.001892958874756090e+01
2.860000000000000000e+02,4.003276896551291486e+01
2.870000000000000000e+02,4.019000964379227980e+01
2.880000000000000000e+02,4.015977700089785429e+01
2.890000000000000000e+02,4.017604496760338151e+01
2.900000000000000000e+02,3.990454841210210191e+01
2.910000000000000000e+02,4.011972716092788005e+01
2.920000000000000000e+02,3.994395286114229293e+01
2.930000000000000000e+02,4.016151545290832559e+01
2.940000000000000000e+02,4.011934077807178767e+01
2.950000000000000000e+02,4.010018700002753178e+01
