episode,score
1.370000000000000000e+02,2.954528988020162572e+01
1.380000000000000000e+02,2.958988482397089115e+01
1.390000000000000000e+02,2.973875501993090964e+01
1.400000000000000000e+02,2.997100543632243230e+01
1.410000000000000000e+02,2.992119129658849985e+01
1.420000000000000000e+02,2.991404366366818479e+01
1.430000000000000000e+02,3.016639243236726742e+01
1.440000000000000000e+02,3.022202329386362507e+01
1.450000000000000000e+02,3.001677082956581799e+01
1.460000000000000000e+02,3.033729057483765956e+01
1.470000000000000000e+02,3.020095157958192189e+01
1.480000000000000000e+02,3.025760937539528683e+01
1.490000000000000000e+02,3.048277751672810254e+01
1.500000000000000000e+02,3.052375240403088341e+01
1.510000000000000000e+02,3.048989878389604868e+01
1.520000000000000000e+02,3.083366978030539585e+01
1.530000000000000000e+02,3.084502642445434262e+01
1.540000000000000000e+02,3.097607150266212273e+01
1.550000000000000000e+02,3.080460188163488056e+01
1.560000000000000000e+02,3.098371353472130352e+01
1.570000000000000000e+02,3.110384500051789303e+01
1.580000000000000000e+02,3.110842907619797160e+01
1.590000000000000000e+02,3.131032570337639243e+01
1.600000000000000000e+02,3.130483758598138166e+01
1.610000000000000000e+02,3.140289458807639633e+01
1.620000000000000000e+02,3.128327357644306517e+01
1.630000000000000000e+02,3.145102105118052904e+01
1.640000000000000000e+02,3.152419852762663766e+01
1.650000000000000000e+02,3.164346632697071016e+01
1.660000000000000000e+02,3.175658362023391490e+01
1.670000000000000000e+02,3.183802729755218763e+01
1.680000000000000000e+02,3.194216508911130248e+01
1.690000000000000000e+02,3.184761610605791304e+01
1.700000000000000000e+02,3.210448331239925324e+01
1.710000000000000000e+02,3.211210059160690378e+01
1.720000000000000000e+02,3.191167395727429579e+01
1.730000000000000000e+02,3.191055375252573256e+01
1.740000000000000000e+02,3.234015288115966058e+01
1.750000000000000000e+02,3.208964367960938802e+01
1.760000000000000000e+02,3.229128351033729416e+01
1.770000000000000000e+02,3.242065916108867896e+01
1.780000000000000000e+02,3.237402625416495994e+01
1.790000000000000000e+02,3.250656185382167962e+01
1.800000000000000000e+02,3.246779608030939812e+01
1.810000000000000000e+02,3.259835571475912275e+01
1.820000000000000000e+02,3.256706281322903607e+01
1.830000000000000000e+02,3.285049266535077095e+01
1.840000000000000000e+02,3.276454573210462939e+01
1.850000000000000000e+02,3.282117787781152174e+01
1.860000000000000000e+02,3.303211866255404061e+01
1.870000000000000000e+02,3.297054637893976548e+01
1.880000000000000000e+02,3.311139184968163818e+01
1.890000000000000000e+02,3.301199230331411627e+01
1.900000000000000000e+02,3.311998613904462019e+01
1.910000000000000000e+02,3.330760742174064148e+01
1.920000000000000000e+02,3.323381838718771064e+01
1.930000000000000000e+02,3.328689775892570424e+01
1.940000000000000000e+02,3.345453382436515710e+01
1.950000000000000000e+02,3.356490703983692470e+01
